Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
359633,171313,-2.582184,51.439314,52,3,2,1,08-10-14,4,19:45,601,E06000023,5,0,6,20,0,-1,-1,0,0,0,4,9,2,0,0,1,2,E01014735
432950,143037,-1.529943,51.18556,44,1,3,1,14-11-14,6,10:25,501,E10000014,6,0,6,30,3,4,6,0,0,0,1,1,2,0,0,2,1,E01032871
324310,469380,-3.159395,54.114706,3,3,3,1,22-03-14,7,11:35,65,E10000006,6,0,6,30,3,4,6,0,0,0,1,1,2,0,0,2,1,E01019380
352997,342403,-2.701465,52.976885,7,3,2,2,30-11-14,1,14:50,130,E06000050,4,5395,6,40,0,-1,-1,0,0,0,1,1,1,0,0,2,2,E01028892
303283,378832,-3.452659,53.297574,60,2,3,1,18-05-14,1,9:45,723,W06000004,3,547,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,W01000223
331633,411890,-3.034567,53.599095,5,3,2,1,17-10-14,6,13:50,93,E08000014,3,565,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01006920
402550,267770,-1.964033,52.308006,22,3,1,1,25-09-14,5,14:20,274,E10000034,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01032232
471792,139216,-0.975013,51.147654,44,3,2,1,10-08-14,1,12:00,497,E10000014,6,0,6,30,2,4,6,0,0,0,1,1,2,0,0,1,1,E01022576
513215,168739,-0.373666,51.406331,45,2,2,1,21-08-14,5,22:50,510,E10000030,3,3050,6,30,0,-1,-1,0,0,0,4,1,1,0,2,1,1,
504391,171438,-0.499689,51.432283,45,3,2,3,16-03-14,1,12:20,40,E10000030,5,248,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01030736
530739,120019,-0.139568,50.964702,47,3,2,1,04-09-14,5,12:20,563,E10000032,4,2036,6,30,3,2,6,0,0,0,1,1,1,0,0,1,1,E01031705
537410,176140,-0.023137,51.467498,1,3,3,1,08-10-14,4,17:30,7,E09000023,3,20,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,E01003277
423708,449317,-1.640336,53.939429,12,3,1,1,30-08-14,7,17:00,182,E10000023,4,6161,6,60,3,4,6,3316,0,0,1,1,1,0,0,2,1,E01027734
501466,307284,-0.501458,52.653773,32,3,2,1,03-10-14,6,7:50,355,E10000019,3,606,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01026359
317892,196940,-3.188615,51.665173,61,3,3,2,15-03-14,7,6:30,731,W06000018,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,W01001392
542093,153272,0.035107,51.260847,45,3,3,3,13-08-14,4,11:05,516,E10000030,3,25,3,60,3,4,6,0,0,0,1,1,1,0,0,2,1,E01030832
529120,174830,-0.142895,51.457676,1,3,2,1,09-07-14,4,8:55,9,E09000022,3,24,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01003026
459839,453706,-1.089131,53.975964,12,3,2,1,06-10-14,2,18:40,189,E06000014,6,3110,6,30,3,4,6,3111,1,8,7,5,2,0,0,1,2,E01013350
356776,424879,-2.656479,53.718518,4,3,2,1,15-08-14,6,19:05,83,E10000017,3,6,1,40,1,4,1,6,0,0,1,1,1,0,0,2,1,E01025401
502909,228908,-0.504066,51.949113,40,2,3,2,26-08-14,3,1:07,424,E06000056,1,1,3,70,5,4,1,1,0,0,5,1,2,0,0,2,1,E01017620
489242,339427,-0.673349,52.944798,32,2,1,2,22-11-14,7,1:00,355,E10000019,4,1174,1,60,1,4,4,1174,0,0,4,8,2,0,0,2,1,E01026340
535910,202120,-0.034668,51.701323,41,3,2,2,01-09-14,2,15:50,430,E10000015,4,176,6,20,0,-1,-1,0,0,4,1,1,1,0,0,1,1,E01023334
311190,528730,-3.377791,54.645848,3,3,1,1,23-09-14,3,15:49,60,E10000006,3,5086,6,60,0,-1,-1,0,0,0,1,8,2,0,0,2,1,E01019091
371420,303120,-2.423659,52.625057,22,3,2,7,27-12-14,7,14:30,286,E06000051,3,442,6,60,0,-1,-1,0,0,0,1,3,2,0,0,2,1,E01028847
389040,134091,-2.157946,51.105953,54,3,4,7,02-03-14,1,16:30,635,E06000054,3,303,6,60,0,-1,-1,0,0,0,1,5,2,0,0,2,1,E01032010
